alpha_deg,nx,ny,Cd_mean,Cl_mean,Ef_mean,Cd_final,Cl_final,Ef_final,Cd_std,Cl_std,Cd_p,Cd_v,Cl_p,Cl_v,Drag,Lift,n_muestras_cd,n_muestras_cl,elapsed_s
0.0,1385,1147,0.045581537298858166,0.23158313493643487,5.080634587158518,0.04298951476812363,0.23364770412445068,5.434992820567925,0.0016444295423416917,0.00573000593073365,0.027737375976113685,0.015037005922058528,0.23586144820629762,-0.002843616662091791,0.021387190949086105,0.11650891577210291,28,28,378.319810628891
1.0,1385,1147,0.050516467807548385,0.3185459056070873,6.3057834292897414,0.04753842577338219,0.3204039931297302,6.739894893808862,0.0016381831005198885,0.005177433414567783,0.03325412597648854,0.013919825397734115,0.3227504190728194,-0.004183836064897724,0.023586975687111326,0.1592832915039608,28,28,351.2952992916107
2.0,1385,1147,0.06238265601652009,0.4338593365890639,6.95480706166422,0.05929090082645416,0.4331263601779938,7.305106755685238,0.0020339518852092466,0.004146144468944466,0.04560940510115664,0.013472036294432811,0.43856262907796184,-0.005943814846967654,0.029540720697794724,0.2163094071154971,28,28,356.09287762641907
3.0,1385,1147,0.06416627857834101,0.47286584228277206,7.369382372790207,0.06054767221212387,0.46226730942726135,7.634766004013255,0.0029113406998153898,0.008665389650941345,0.050246426311308864,0.010071096936499291,0.4691076084864242,-0.006567073376859416,0.030158761623904077,0.2312702675547824,28,28,356.60782623291016
4.0,1385,1147,0.06850807501801423,0.5218685439654759,7.6176208983868,0.06357447057962418,0.5232967734336853,8.23124075847835,0.002985464666622988,0.007243667219292276,0.053181189697195444,0.009975959658057674,0.5302820181889831,-0.007425174901877902,0.03157857467762656,0.2614284216435526,28,28,361.8025236129761
5.0,1385,1147,0.08931495382317475,0.6030649649245399,6.7521164050365465,0.086247518658638,0.6059547066688538,7.025763941884318,0.002357668330450852,0.006023303653980749,0.07580147288781519,0.01046159225344201,0.615206231361897,-0.008598522067425276,0.0431315325706286,0.30330385464723586,28,28,7015.3967361450195
6.0,1385,1147,0.12044161717806544,0.7080236141170774,5.878562831569328,0.11692199110984802,0.7004256844520569,5.990538459048376,0.0026074883315846307,0.006338946405990377,0.10716107834177294,0.009883029630747055,0.7109724433586305,-0.009106921820966292,0.058522053986259995,0.3509327607688321,28,28,389.9309859275818
7.0,1385,1147,0.14748045482805797,0.8021933500255857,5.439319745527184,0.14566868543624878,0.8049037456512451,5.525578426418267,0.0020822460445859108,0.0053987654198414834,0.13547310935840545,0.01019349110502804,0.8159801656822746,-0.010258198004500679,0.07283330023171675,0.40286098383888697,28,28,400.4396085739136
8.0,1385,1147,0.15015142570648873,0.8296219323362622,5.525235131353205,0.14735281467437744,0.8365141153335571,5.676946973711355,0.003695065344079574,0.004861209501938741,0.13741466662260926,0.010289396019739577,0.8498730493010742,-0.010642131806436646,0.07385203132117442,0.41961545874731876,28,28,417.60745763778687
9.0,1385,1147,0.16236210241913795,0.8582209178379604,5.2858450651400295,0.15696831047534943,0.8458036184310913,5.388371804918661,0.004094941071735187,0.006343272606590887,0.1465269720407886,0.01035310657501019,0.8556499222057423,-0.01070067945013765,0.07844003930789939,0.42247462137780234,28,28,415.7001984119415
10.0,1385,1147,0.16227990069559642,0.8938986616475242,5.508375700354251,0.15134188532829285,0.8617509603500366,5.6940678284845925,0.009017544281199809,0.019196093786015903,0.14028830774271694,0.010474588334297815,0.871434862465732,-0.010660757762671383,0.07538144803850738,0.4303870523515303,28,28,414.03425669670105
