perfil,alpha,cl_t10,cd_t10,ld_t10,cl_tinf,cd_tinf,ld_tinf,cl_malla,cd_malla,ld_malla,cl_fusion,cd_fusion,ld_fusion,meseta
ganador_tfg2,1.0,0.310930,0.030125,10.321500,0.316471,0.028926,11.004745,0.311531,0.032018,9.730096,0.317082,0.030744,10.374192,False
ganador_tfg2,2.0,0.443877,0.024118,18.404200,0.451787,0.023158,19.622491,0.444735,0.025634,17.349671,0.452660,0.024614,18.498155,True
ganador_tfg2,3.0,0.587364,0.018454,31.829000,0.592899,0.017348,34.367088,0.588499,0.019614,30.005252,0.594045,0.018438,32.397912,True
ganador_tfg2,4.0,0.680585,0.021466,31.705000,0.681305,0.019750,34.660097,0.681900,0.022815,29.888357,0.682621,0.020991,32.674133,True
ganador_tfg2,5.0,0.777155,0.026839,28.955700,0.782812,0.025506,30.778347,0.778657,0.028526,27.296588,0.784324,0.027109,29.014800,True
ganador_tfg2,6.0,0.844919,0.037393,22.595900,0.856321,0.036681,23.343326,0.846552,0.039743,21.301193,0.857976,0.038986,22.005793,True
ganador_tfg2,7.0,0.943957,0.050842,18.566500,0.950278,0.050359,18.873970,0.945781,0.054037,17.502671,0.952114,0.053524,17.792524,False
ganador_tfg2,8.0,1.007108,0.066110,15.233800,1.007009,0.066110,15.233800,1.009054,0.070265,14.360929,1.008954,0.070265,14.360929,False
ganador_tfg2,9.0,1.090336,0.087729,12.428500,1.095702,0.087729,12.428500,1.092443,0.093243,11.716368,1.097819,0.093243,11.716368,False
ganador_tfg2,10.0,1.176526,0.109944,10.701200,1.188222,0.109944,10.701200,1.178799,0.116854,10.088039,1.190518,0.116854,10.088039,False
naca0012,1.0,0.100948,0.017780,5.677600,0.101271,0.017674,5.796569,0.101143,0.018897,5.352283,0.101467,0.018785,5.464436,False
naca0012,2.0,0.189199,0.018906,10.007300,0.189805,0.018793,10.216994,0.189565,0.020094,9.433899,0.190172,0.019974,9.631578,True
naca0012,3.0,0.325027,0.023713,13.706500,0.337867,0.023650,14.249862,0.325655,0.025203,12.921141,0.338520,0.025136,13.433369,True
naca0012,4.0,0.440263,0.030541,14.415400,0.473862,0.030561,15.253325,0.441114,0.032461,13.589422,0.474778,0.032482,14.379336,True
naca0012,5.0,0.506928,0.037348,13.573300,0.516215,0.036492,13.991823,0.507907,0.039695,12.795573,0.517212,0.038786,13.190116,True
naca0012,6.0,0.602924,0.045249,13.324700,0.579553,0.043155,13.370215,0.604089,0.048093,12.561217,0.580673,0.045867,12.604124,True
naca0012,7.0,0.663497,0.055480,11.959200,0.607251,0.056535,10.786310,0.664779,0.058967,11.273958,0.608424,0.060089,10.168273,False
naca0012,8.0,0.729574,0.077613,9.400100,0.634159,0.084211,7.530600,0.730984,0.082491,8.861490,0.635384,0.089504,7.099109,False
naca0012,9.0,0.802767,0.106848,7.513100,0.680269,0.116336,5.848036,0.804318,0.113563,7.082612,0.681583,0.123648,5.512953,False
naca0012,10.0,0.946014,0.160892,5.879800,0.781021,0.175788,4.443000,0.947842,0.171004,5.542897,0.782530,0.186836,4.188424,False
