alpha,cl,cd,ld,cl_ci95,cd_ci95,ld_ci95,cl_std,cd_std,n_samples,converged_clcd,t_conv_clcd,iters_efectivas,iters_programadas,cl_cp_discrepancy,cl_cp_discrepancy_flag,dx,Re,Lx,Ly,cx,wall_s
1.0,0.100948,0.01778,5.6776,0.011622,0.000342,0.6627,0.042759,0.001257,52,False,,13000,13000,0.00256,False,0.002,100000.0,24.0,16.0,6.0,2302.9
2.0,0.189199,0.018906,10.0073,0.011503,0.000516,0.6669,0.04232,0.001898,52,False,,13000,13000,0.07469,True,0.002,100000.0,24.0,16.0,6.0,2265.3
3.0,0.325027,0.023713,13.7065,0.011475,0.000858,0.6931,0.039274,0.002938,45,True,8.3873,11250,13000,0.05599,True,0.002,100000.0,24.0,16.0,6.0,1938.3
4.0,0.440263,0.030541,14.4154,0.012409,0.00102,0.6298,0.038511,0.003164,37,True,6.8213,9450,13000,0.02398,False,0.002,100000.0,24.0,16.0,6.0,1623.3
5.0,0.506928,0.037348,13.5733,0.009192,0.000809,0.3835,0.025255,0.002223,29,True,5.0237,7350,13000,0.08366,True,0.002,100000.0,24.0,16.0,6.0,1247.2
6.0,0.602924,0.045249,13.3247,0.008632,0.000873,0.3201,0.02888,0.00292,43,True,6.9196,10850,13000,0.07349,True,0.002,100000.0,24.0,16.0,6.0,1876.1
7.0,0.663497,0.05548,11.9592,0.009783,0.001121,0.2991,0.030361,0.003479,37,True,5.853,9450,13000,0.13248,True,0.002,100000.0,24.0,16.0,6.0,1622.0
8.0,0.729574,0.077613,9.4001,0.008474,0.001149,0.1768,0.031179,0.004226,52,False,,13000,13000,0.11604,True,0.002,100000.0,24.0,16.0,6.0,2371.2
9.0,0.802767,0.106848,7.5131,0.006613,0.001218,0.1057,0.024328,0.004482,52,False,,13000,13000,0.12347,True,0.002,100000.0,24.0,16.0,6.0,2459.1
10.0,0.946014,0.160892,5.8798,0.008856,0.002607,0.11,0.032582,0.009592,52,False,,13000,13000,0.10538,True,0.002,100000.0,24.0,16.0,6.0,2529.6
