alpha_deg,nx,ny,Cd_mean,Cl_mean,Ef_mean,Cd_final,Cl_final,Ef_final,Cd_std,Cl_std,Cd_p,Cd_v,Cl_p,Cl_v,Drag,Lift,n_muestras_cd,n_muestras_cl,elapsed_s
-12.0,1385,1147,0.12659397069364786,-0.4535442947277001,-3.5826690026593635,0.13307949900627136,-0.47077029943466187,-3.537511810233647,0.004649170100086243,0.016826590633443873,0.11982519163687345,0.013435621298257027,-0.4889817189303764,0.017925338521831185,0.06663040646756524,-0.2355281902042726,56,56,470.0053942203522
-11.0,1385,1147,0.11675793251820973,-0.4514029771089554,-3.866143973032016,0.12441746890544891,-0.48511117696762085,-3.899060005281744,0.004922890264919165,0.023470964215436693,0.11007825772259548,0.014611641569370752,-0.5043392901426108,0.01819756377458078,0.06234494964598312,-0.24307086318401502,56,56,464.86274766921997
-10.0,1385,1147,0.10251762864312955,-0.407438833798681,-3.9743294806106153,0.1098388135433197,-0.44141843914985657,-4.01878375148111,0.004552251796391925,0.0220532959201291,0.09561686921455657,0.014266178115655233,-0.458459603226388,0.016532403465096268,0.05494152366510591,-0.22096359988064587,56,56,466.6243827342987
-9.0,1385,1147,0.09616953174450568,-0.3932245336472988,-4.088868132289355,0.10255126655101776,-0.43014997243881226,-4.194487176078113,0.00412901207816101,0.024874254357853207,0.08836927357795656,0.014310465394893983,-0.44712779653201457,0.016310673032333908,0.05133986948642527,-0.21540856174984033,56,56,468.82022404670715
-8.0,1385,1147,0.08826898304479462,-0.3563030468566077,-4.036560007446687,0.09331847727298737,-0.38887855410575867,-4.167219241781673,0.0028500994409713814,0.019572153998199542,0.07843647841495072,0.015055169599205307,-0.4054147673384989,0.015509454299600765,0.04674582400707801,-0.19495265651944907,56,56,466.0893919467926
-7.0,1385,1147,0.08368126994797162,-0.3297625444829464,-3.9406971797628607,0.087883360683918,-0.36102116107940674,-4.107958073859491,0.00263220404444762,0.02015002050841087,0.07231832769761,0.015687843590922172,-0.3763958338133818,0.01454619295192952,0.04400308564426608,-0.18092482043072616,56,56,466.26277685165405
-6.0,1385,1147,0.07902268120752913,-0.29909863429410116,-3.7849719817606444,0.08239791542291641,-0.32506465911865234,-3.945059258480291,0.002133134421675968,0.01709755803981518,0.06609066176745935,0.01639306991239133,-0.3391298493928224,0.013328356617845677,0.04124186583992534,-0.16290074638748836,56,56,466.33284878730774
-5.0,1385,1147,0.0725194766585316,-0.25449488604707377,-3.5093315309678745,0.07511679828166962,-0.2781853675842285,-3.70337093629978,0.0016696617809925604,0.015502032952056924,0.05864288700664741,0.0165450675079166,-0.290231039018118,0.011444168466815861,0.037593977257282,-0.13939343527565107,56,56,460.2395853996277
-4.0,1385,1147,0.06594540710960116,-0.20815061245645797,-3.156408028697313,0.06768089532852173,-0.22753673791885376,-3.3619049632011357,0.0011105800342443388,0.012482016512878528,0.051043549931619955,0.016684247462657,-0.2373848475518775,0.009287722411243208,0.033863898697138475,-0.11404856257031715,56,56,466.24429750442505
-3.0,1385,1147,0.058892068187040944,-0.14634368941187859,-2.4849473607734693,0.059564124792814255,-0.1607079654932022,-2.698066429284458,0.00044857762188020426,0.008831472246189772,0.043044934434480465,0.01653250013654667,-0.1677436526108707,0.00662570882167691,0.029788717285513567,-0.0805589718945969,56,56,462.4972152709961
