perfil,dx,alpha,cl,cd,ld,cl_ci95,cd_ci95,ld_ci95,cl_std,cd_std,n_samples,converged_clcd,t_conv_clcd,t_parada_offline,ld_parada_offline,coste_parada_offline,iters_efectivas,iters_programadas,cl_raw,cl_audit_inst,cl_cp_discrepancy,cl_cp_discrepancy_flag,parada_clcd_activa,Re,Lx,Ly,cx,wall_s
ganador_ag,0.008,0.0,-0.114713,0.044004,-2.6069,0.000547,1.1e-05,0.0124,0.001422,3e-05,26,False,,,,,6500,6500,-0.114713,-0.116371,0.06683,True,False,100000.0,24.0,16.0,6.0,192.0
ganador_ag,0.008,1.0,0.201764,0.038702,5.2132,0.000422,1.4e-05,0.0111,0.001098,3.8e-05,26,False,,,,,6500,6500,0.201764,0.201287,0.01535,False,False,100000.0,24.0,16.0,6.0,192.6
ganador_ag,0.008,2.0,0.32505,0.035169,9.2426,0.000174,7e-06,0.0053,0.000453,1.8e-05,26,False,,16.904,9.2248,0.868,6500,6500,0.32505,0.325592,0.00512,False,False,100000.0,24.0,16.0,6.0,199.4
ganador_ag,0.008,3.0,0.486264,0.035781,13.5901,3.3e-05,5e-06,0.002,8.7e-05,1.2e-05,26,False,,11.178,13.5328,0.602,6500,6500,0.486264,0.487648,0.00061,False,False,100000.0,24.0,16.0,6.0,205.0
ganador_ag,0.008,4.0,0.581626,0.033074,17.5854,2.8e-05,3e-06,0.0016,7.4e-05,7e-06,26,False,,10.999,17.5846,0.604,6500,6500,0.581626,0.582022,0.00846,False,False,100000.0,24.0,16.0,6.0,194.4
ganador_ag,0.008,5.0,0.619867,0.038645,16.0401,4.7e-05,4e-06,0.0019,0.000123,9e-06,26,False,,10.782,16.0508,0.605,6500,6500,0.619867,0.62065,0.02874,False,False,100000.0,24.0,16.0,6.0,203.7
ganador_ag,0.008,6.0,0.733515,0.06412,11.4397,0.000176,7e-06,0.003,0.000459,1.7e-05,26,False,,14.106,11.4374,0.821,6500,6500,0.733515,0.7362,0.03978,False,False,100000.0,24.0,16.0,6.0,195.6
ganador_ag,0.008,7.0,0.788348,0.056001,14.0775,0.00022,7e-06,0.0043,0.000572,1.9e-05,26,False,,8.132,14.2078,0.498,6500,6500,0.788348,0.788475,0.03552,False,False,100000.0,24.0,16.0,6.0,203.2
ganador_ag,0.008,8.0,0.769379,0.095195,8.0821,0.001358,8.7e-05,0.0161,0.003533,0.000226,26,False,,16.523,8.0983,0.976,6500,6500,0.769379,0.774507,0.10615,True,False,100000.0,24.0,16.0,6.0,198.6
ganador_ag,0.006,0.0,-0.054713,0.046957,-1.1652,0.008518,0.007395,0.258,0.02534,0.022001,34,False,,,,,8700,8700,-0.054713,-0.10302,0.08409,True,False,100000.0,24.0,16.0,6.0,250.3
ganador_ag,0.006,1.0,0.156055,0.037195,4.1956,0.006128,0.006579,0.7602,0.01823,0.019572,34,False,,,,,8700,8700,0.156055,0.130658,0.03948,False,False,100000.0,24.0,16.0,6.0,247.4
ganador_ag,0.006,2.0,0.349963,0.031353,11.1621,0.008012,0.009503,3.3928,0.023835,0.028271,34,False,,,,,8700,8700,0.349963,0.325738,0.02619,False,False,100000.0,24.0,16.0,6.0,250.8
ganador_ag,0.006,3.0,0.578263,0.024255,23.8412,0.016039,0.014002,13.7789,0.047716,0.041655,34,False,,,,,8700,8700,0.578263,0.522875,0.05629,True,False,100000.0,24.0,16.0,6.0,258.5
ganador_ag,0.006,4.0,0.623116,0.02789,22.3419,0.027304,0.016301,13.0946,0.081229,0.048494,34,False,,,,,8700,8700,0.623116,0.528708,0.13275,True,False,100000.0,24.0,16.0,6.0,265.1
ganador_ag,0.006,5.0,0.710306,0.032853,21.6206,0.048868,0.025734,17.0008,0.145382,0.076559,34,False,,,,,8700,8700,0.710306,0.482819,0.23987,True,False,100000.0,24.0,16.0,6.0,247.7
ganador_ag,0.006,6.0,0.751257,0.054539,13.7746,0.06451,0.031061,7.9336,0.191917,0.092406,34,False,,,,,8700,8700,0.751257,0.458582,0.30931,True,False,100000.0,24.0,16.0,6.0,248.1
ganador_ag,0.006,7.0,0.818458,0.074637,10.9659,0.089027,0.039386,5.9083,0.264854,0.117172,34,False,,,,,8700,8700,0.818458,0.419633,0.41873,True,False,100000.0,24.0,16.0,6.0,257.4
ganador_ag,0.006,8.0,0.989009,0.093615,10.5647,0.144796,0.061645,7.1267,0.430763,0.183393,34,False,,,,,8700,8700,0.989009,0.43314,0.12213,True,False,100000.0,24.0,16.0,6.0,261.7
ganador_ag,0.004,0.0,0.092944,0.046536,1.9972,0.002372,0.000104,0.0512,0.008728,0.000384,52,False,,19.091,1.9802,0.973,13000,13000,0.092944,0.097678,0.00547,False,False,100000.0,24.0,16.0,6.0,384.5
ganador_ag,0.004,1.0,0.23426,0.03812,6.1453,0.00287,0.00015,0.0791,0.010559,0.000552,52,False,,,,,13000,13000,0.23426,0.244603,0.02022,False,False,100000.0,24.0,16.0,6.0,370.1
ganador_ag,0.004,2.0,0.361438,0.031642,11.4229,0.003512,0.000258,0.1448,0.012919,0.000948,52,False,,,,,13000,13000,0.361438,0.363892,0.0118,False,False,100000.0,24.0,16.0,6.0,369.1
ganador_ag,0.004,3.0,0.572208,0.020857,27.435,0.01134,0.001118,1.5676,0.04172,0.004112,52,False,,,,,13000,13000,0.572208,0.559648,0.02653,False,False,100000.0,24.0,16.0,6.0,364.3
ganador_ag,0.004,4.0,0.679858,0.022417,30.3271,0.006093,0.000782,1.092,0.022417,0.002876,52,False,,,,,13000,13000,0.679858,0.689826,0.07117,True,False,100000.0,24.0,16.0,6.0,366.1
ganador_ag,0.004,5.0,0.731893,0.033299,21.9793,0.0001,1.7e-05,0.0114,0.000369,6.1e-05,52,False,,9.741,21.9529,0.562,13000,13000,0.731893,0.73271,0.02377,False,False,100000.0,24.0,16.0,6.0,371.3
ganador_ag,0.004,6.0,0.804819,0.048327,16.6536,0.000116,2.1e-05,0.0077,0.000427,7.8e-05,52,False,,5.518,15.7449,0.332,13000,13000,0.804819,0.805725,0.01453,False,False,100000.0,24.0,16.0,6.0,396.3
ganador_ag,0.004,7.0,0.912036,0.06965,13.0946,0.000251,2.6e-05,0.0061,0.000924,9.6e-05,52,False,,9.54,13.0953,0.595,13000,13000,0.912036,0.912012,0.00979,False,False,100000.0,24.0,16.0,6.0,410.4
ganador_ag,0.004,8.0,0.939261,0.10361,9.0653,0.001571,0.000289,0.0295,0.005781,0.001064,52,False,,,,,13000,13000,0.939261,0.934908,0.05061,True,False,100000.0,24.0,16.0,6.0,406.1
ganador_ag,0.002,0.0,0.140494,0.036792,3.8186,0.005496,0.000205,0.1509,0.028596,0.001065,104,False,,,,,26000,26000,0.140494,0.110648,0.04083,False,False,100000.0,24.0,16.0,6.0,1076.1
ganador_ag,0.002,1.0,0.321591,0.027967,11.4988,0.007062,0.000348,0.2901,0.036742,0.001809,104,False,,15.326,11.4115,0.711,26000,26000,0.321591,0.333446,0.01975,False,False,100000.0,24.0,16.0,6.0,1032.4
ganador_ag,0.002,2.0,0.457321,0.021173,21.5993,0.009305,0.000621,0.7714,0.048417,0.003233,104,False,,14.778,21.3128,0.704,26000,26000,0.457321,0.406786,0.00232,False,False,100000.0,24.0,16.0,6.0,1029.1
ganador_ag,0.002,3.0,0.613518,0.015173,40.436,0.007757,0.0007,1.934,0.040361,0.003642,104,False,,,,,26000,26000,0.613518,0.585836,0.11004,True,False,100000.0,24.0,16.0,6.0,1025.7
ganador_ag,0.002,4.0,0.696481,0.016924,41.1546,0.001455,0.000156,0.3881,0.007569,0.00081,104,False,,14.985,40.6675,0.726,26000,26000,0.696481,0.702205,0.05191,True,False,100000.0,24.0,16.0,6.0,1069.3
ganador_ag,0.002,5.0,0.815222,0.023333,34.9384,0.000622,8.1e-05,0.1242,0.003238,0.000421,104,False,,15.024,34.8144,0.814,26000,26000,0.815222,0.820349,0.07691,True,False,100000.0,24.0,16.0,6.0,1001.7
ganador_ag,0.002,6.0,0.878714,0.035674,24.6316,0.000287,4.7e-05,0.0332,0.001492,0.000243,104,False,,12.107,24.6205,0.684,26000,26000,0.878714,0.879513,0.07234,True,False,100000.0,24.0,16.0,6.0,1028.9
ganador_ag,0.002,7.0,0.970923,0.048042,20.2097,2.9e-05,2e-06,0.0011,0.00015,1.2e-05,104,False,,12.147,20.1539,0.742,26000,26000,0.970923,0.972225,0.08208,True,False,100000.0,24.0,16.0,6.0,1020.3
ganador_ag,0.002,8.0,1.038026,0.061667,16.8327,9.2e-05,3e-06,0.0017,0.000481,1.7e-05,104,False,,11.733,16.8194,0.746,26000,26000,1.038026,1.038495,0.07922,True,False,100000.0,24.0,16.0,6.0,1048.8
naca0012,0.008,0.0,0.004015,0.032417,0.1239,3.9e-05,2e-06,0.0012,0.0001,5e-06,26,False,,,,,6500,6500,0.004015,0.003978,0.01012,False,False,100000.0,24.0,16.0,6.0,189.0
naca0012,0.008,1.0,0.106535,0.043046,2.4749,0.000212,1.2e-05,0.005,0.000551,3.1e-05,26,False,,14.997,2.4782,0.806,6500,6500,0.106535,0.106043,0.00431,False,False,100000.0,24.0,16.0,6.0,185.0
naca0012,0.008,2.0,0.160705,0.037595,4.2746,0.000369,1.5e-05,0.01,0.000961,3.9e-05,26,False,,,,,6500,6500,0.160705,0.162135,0.02673,False,False,100000.0,24.0,16.0,6.0,179.6
naca0012,0.008,3.0,0.212346,0.041529,5.1132,0.000218,1.2e-05,0.0055,0.000567,3.1e-05,26,False,,,,,6500,6500,0.212346,0.213707,0.06041,True,False,100000.0,24.0,16.0,6.0,179.0
naca0012,0.008,4.0,0.318034,0.046233,6.879,0.000457,2.5e-05,0.0105,0.001188,6.4e-05,26,False,,16.565,6.8718,0.945,6500,6500,0.318034,0.317012,0.07521,True,False,100000.0,24.0,16.0,6.0,180.2
naca0012,0.008,5.0,0.278885,0.056589,4.9283,0.001525,3.3e-05,0.0271,0.003967,8.7e-05,26,False,,,,,6500,6500,0.278885,0.286877,0.13627,True,False,100000.0,24.0,16.0,6.0,179.5
naca0012,0.008,6.0,0.325357,0.066399,4.9,0.000459,1.5e-05,0.007,0.001194,3.8e-05,26,False,,13.105,4.8636,0.767,6500,6500,0.325357,0.327058,0.1712,True,False,100000.0,24.0,16.0,6.0,183.0
naca0012,0.008,7.0,0.376002,0.082573,4.5536,0.001884,8.9e-05,0.0233,0.004901,0.000231,26,False,,,,,6500,6500,0.376002,0.382661,0.20515,True,False,100000.0,24.0,16.0,6.0,183.0
naca0012,0.008,8.0,0.398071,0.100103,3.9766,0.001209,8.7e-05,0.0126,0.003144,0.000227,26,False,,,,,6500,6500,0.398071,0.401819,0.24409,True,False,100000.0,24.0,16.0,6.0,182.8
naca0012,0.006,0.0,0.018363,0.041031,0.4475,0.00086,0.047045,0.5136,0.002559,0.139958,34,False,,,,,8700,8700,0.018363,0.022191,0.01552,False,False,100000.0,24.0,16.0,6.0,263.6
naca0012,0.006,1.0,0.074006,0.04866,1.5209,0.008167,0.045507,1.4322,0.024297,0.135384,34,False,,,,,8700,8700,0.074006,0.039037,0.04252,False,False,100000.0,24.0,16.0,6.0,247.3
naca0012,0.006,2.0,0.16867,0.042485,3.9702,0.022273,0.058441,5.4864,0.066262,0.173861,34,False,,,,,8700,8700,0.16867,0.110541,0.10934,True,False,100000.0,24.0,16.0,6.0,248.3
naca0012,0.006,3.0,0.262963,0.044957,5.8492,0.03968,0.062561,8.1872,0.118046,0.186118,34,False,,,,,8700,8700,0.262963,0.076849,0.18245,True,False,100000.0,24.0,16.0,6.0,251.5
naca0012,0.006,4.0,0.386872,0.06643,5.8237,0.058905,0.08422,7.4363,0.17524,0.250551,34,False,,,,,8700,8700,0.386872,0.127381,0.20191,True,False,100000.0,24.0,16.0,6.0,250.8
naca0012,0.006,5.0,0.41528,0.074201,5.5967,0.082667,0.089332,6.8295,0.245931,0.265761,34,False,,,,,8700,8700,0.41528,0.043056,0.28553,True,False,100000.0,24.0,16.0,6.0,248.9
