perfil,alpha,magnitud,f_gruesa,f_media,f_fina,p_observado,f_extrapolado,GCI_fina_pct,GCI_gruesa_pct,monotona,citable,f_extrapolado_robusto,p_usado,p_observado_con_signo,p_fiable
ganador_ag,0.0,cl,-0.114713,0.092944,0.140494,2.1267,0.154616,12.5644,82.9422,1,1,0.154616,2.1267,2.1267,1
ganador_ag,0.0,cd,0.044004,0.046536,0.036792,1.9442,0.033371,11.6226,2.3878,0,0,0.034021,2.0,None,0
ganador_ag,0.0,ld,-2.6069,1.9972,3.8186,1.3379,5.010787,39.0256,188.6132,1,1,5.010787,1.3379,1.3379,1
ganador_ag,1.0,cl,0.201764,0.23426,0.321591,1.4262,0.373345,20.1162,10.2758,1,1,0.350701,2.0,-1.4262,0
ganador_ag,1.0,cd,0.038702,0.03812,0.027967,4.1247,0.02735,2.7595,0.1161,1,0,0.025224,2.0,-4.3533,0
ganador_ag,1.0,ld,5.2132,6.1453,11.4988,2.5219,12.627401,12.2687,3.997,1,1,13.2833,2.0,-2.5219,0
ganador_ag,2.0,cl,0.32505,0.361438,0.457321,1.3978,0.515964,16.0291,7.6968,1,1,0.489282,2.0,-1.3978,0
ganador_ag,2.0,cd,0.035169,0.031642,0.021173,1.5696,0.015854,31.4017,7.079,1,1,0.018519,2.0,-1.9266,0
ganador_ag,2.0,ld,9.2426,11.4229,21.5993,2.2226,24.374103,16.0584,6.5056,1,1,24.991433,2.0,-2.2226,0
ganador_ag,3.0,cl,0.486264,0.572208,0.613518,1.0569,0.651752,7.7898,17.3764,1,1,0.651752,1.0569,1.0569,1
ganador_ag,3.0,cd,0.035781,0.020857,0.015173,1.3927,0.011676,28.8055,55.0206,1,1,0.013646,2.0,0.7624,0
ganador_ag,3.0,ld,13.5901,27.435,40.436,0.0907,240.727505,619.1621,971.8084,1,0,44.769667,2.0,0.0907,0
ganador_ag,4.0,cl,0.581626,0.679858,0.696481,2.563,0.699867,0.6077,3.6789,1,1,0.699867,2.563,2.563,1
ganador_ag,4.0,cd,0.033074,0.022417,0.016924,0.9561,0.011081,43.1559,63.2107,1,1,0.01541,2.0,0.4685,0
ganador_ag,4.0,ld,17.5854,30.3271,41.1546,0.2349,102.399379,186.0205,297.0622,1,0,44.763767,2.0,0.2349,0
ganador_ag,5.0,cl,0.619867,0.731893,0.815222,0.4269,1.057189,37.1014,55.5573,1,0,0.842998,2.0,0.4269,0
ganador_ag,5.0,cd,0.038645,0.033299,0.023333,0.8986,0.011801,61.7799,23.2217,1,1,0.020724,2.0,-1.2562,0
ganador_ag,5.0,ld,16.0401,21.9793,34.9384,1.1256,45.902472,39.2264,28.5773,1,1,39.2581,2.0,-1.1256,0
ganador_ag,6.0,cl,0.733515,0.804819,0.878714,0.0515,2.912295,289.2837,304.77,1,0,0.903346,2.0,-0.0515,0
ganador_ag,6.0,cd,0.06412,0.048327,0.035674,0.3198,-0.015313,178.6552,164.6071,1,0,0.032241,2.0,-0.1024,0
ganador_ag,6.0,ld,11.4397,16.6536,24.6316,0.6137,39.680438,76.3696,73.8199,1,1,27.290933,2.0,-0.6137,0
ganador_ag,7.0,cl,0.788348,0.912036,0.970923,1.0707,1.024436,6.8894,15.4051,1,1,1.024436,1.0707,1.0707,1
ganador_ag,7.0,cd,0.056001,0.06965,0.048042,0.6628,0.010986,96.4153,42.008,0,0,0.042448,2.0,None,0
ganador_ag,7.0,ld,14.0775,13.0946,20.2097,2.8558,21.350144,7.0538,1.5039,0,0,22.5814,2.0,None,0
ganador_ag,8.0,cl,0.769379,0.939261,1.038026,0.7825,1.175188,16.5171,31.3979,1,1,1.070948,2.0,0.7825,0
ganador_ag,8.0,cd,0.095195,0.10361,0.061667,2.3174,0.05114,21.3385,2.5481,0,0,0.051872,2.0,None,0
