perfil,reynolds,coeficiente,sim_column,MAE,RMSE,R2,mean_rel_err_pct,max_abs_err
NACA0012,100000,Cd,Cd_eval,0.036350,0.038851,-14.842268,165.959603,0.064140
NACA0012,100000,Cl,Cl_eval,0.187269,0.198323,0.511350,38.115854,0.235862
NACA0012,100000,Cl_cp,Cl_cp_eval,0.165570,0.201177,0.497184,25.422634,0.331678
NACA0012,100000,Ef,Ef_eval,20.319799,21.904857,-3.553323,77.021427,29.113197
NACA0012,1000000,Cd,Cd_eval,0.046839,0.046839,-70872.517625,842.227135,0.046925
NACA0012,1000000,Cl,Cl_eval,0.032663,0.041843,0.771468,30.727913,0.064023
NACA0012,1000000,Cl_cp,Cl_cp_eval,0.098952,0.124434,-1.021064,95.596625,0.183069
NACA0012,1000000,Ef,Ef_eval,17.407552,22.283454,-1.185125,92.539001,34.050335
AG24,100000,Cd,Cd_eval,0.085006,0.092228,-7.330775,367.944995,0.148914
AG24,100000,Cl,Cl_eval,0.206365,0.249185,0.825318,71.779692,0.555097
AG24,100000,Ef,Ef_eval,17.783071,24.007272,0.010321,62.367157,44.128271
AG24,1000000,Cd,Cd_eval,0.093575,0.102055,-14.746594,850.177649,0.165380
AG24,1000000,Cl,Cl_eval,0.211425,0.250244,0.837299,47.265248,0.591114
AG24,1000000,Ef,Ef_eval,46.934578,59.017625,-0.382070,75.474051,96.853398
GM15,100000,Cd,Cd_eval,0.101899,0.110783,-9.733835,368.891901,0.188634
GM15,100000,Cl,Cl_eval,0.220068,0.247757,0.857257,96.891226,0.456809
GM15,100000,Ef,Ef_eval,20.355229,28.894665,-0.252823,76.223540,58.120965
GM15,1000000,Cd,Cd_eval,0.114330,0.121369,-12.400690,984.769467,0.221604
GM15,1000000,Cl,Cl_eval,0.137191,0.178279,0.913716,26.228851,0.501545
GM15,1000000,Ef,Ef_eval,58.630526,74.356526,-1.168456,74.749717,137.440143
