alpha,cl,cd,ld,cl_ci95,cd_ci95,ld_ci95,cl_std,cd_std,n_samples,converged_clcd,t_conv_clcd,iters_efectivas,iters_programadas,cl_cp_discrepancy,cl_cp_discrepancy_flag,dx,Re,wall_s
0.0,0.102816,0.04066,2.5287,0.007582,0.000375,0.1879,0.027895,0.00138,52,False,,13000,13000,0.02495,False,0.002,100000.0,1659.0
1.0,0.294436,0.032875,8.9562,0.010425,0.00071,0.3714,0.031013,0.002112,34,True,7.0861,8650,13000,0.04935,False,0.002,100000.0,1179.0
2.0,0.421266,0.027199,15.4885,0.014874,0.001239,0.8928,0.041566,0.003463,30,True,6.1463,7650,13000,0.02099,False,0.002,100000.0,1023.6
3.0,0.574622,0.020694,27.7677,0.008335,0.000947,1.3335,0.030666,0.003486,52,False,,13000,13000,0.06661,True,0.002,100000.0,1758.2
4.0,0.668009,0.024114,27.7022,0.007671,0.000934,1.1191,0.028224,0.003436,52,False,,13000,13000,0.05434,True,0.002,100000.0,1802.3
5.0,0.76471,0.030723,24.8905,0.002623,0.000383,0.3217,0.007569,0.001105,32,True,5.9193,8050,13000,0.038,False,0.002,100000.0,1086.4
6.0,0.845039,0.039306,21.4992,0.005285,0.000764,0.4392,0.014267,0.002064,28,True,5.0455,7150,13000,0.08284,True,0.002,100000.0,967.7
7.0,0.934465,0.054419,17.1715,0.0006,3.7e-05,0.016,0.001705,0.000105,31,True,5.2754,7950,13000,0.09221,True,0.002,100000.0,1078.4
8.0,1.014107,0.068038,14.9051,0.000466,8.4e-05,0.0197,0.001446,0.000262,37,False,,9300,13000,0.09203,True,0.002,100000.0,1266.4
9.0,1.152538,0.094062,12.253,0.027118,0.002424,0.4276,0.078266,0.006996,32,True,5.0216,8150,13000,0.18534,True,0.002,100000.0,1149.6
10.0,1.260063,0.122109,10.3192,0.025486,0.002774,0.3139,0.080158,0.008723,38,False,,9550,13000,0.07436,True,0.002,100000.0,1373.5
