alpha,cl,cd,ld,cl_ci95,cd_ci95,ld_ci95,cl_std,cd_std,n_samples,converged_clcd,t_conv_clcd,iters_efectivas,iters_programadas,cl_cp_discrepancy,cl_cp_discrepancy_flag,dx,Re,Lx,Ly,cx,wall_s
1.0,0.31093,0.030125,10.3215,0.010149,0.000527,0.3822,0.03734,0.001938,52,False,,13000,13000,0.10274,True,0.002,100000.0,24.0,16.0,6.0,2296.8
2.0,0.443877,0.024118,18.4042,0.010834,0.000809,0.7635,0.039861,0.002977,52,False,,13000,13000,0.10135,True,0.002,100000.0,24.0,16.0,6.0,2482.7
3.0,0.587364,0.018454,31.829,0.011831,0.000941,1.7454,0.043529,0.003463,52,False,,13000,13000,0.00933,False,0.002,100000.0,24.0,16.0,6.0,2772.7
4.0,0.680585,0.021466,31.705,0.008458,0.000992,1.5174,0.03112,0.00365,52,False,,13000,13000,0.01583,False,0.002,100000.0,24.0,16.0,6.0,2957.2
5.0,0.777155,0.026839,28.9557,0.002469,0.000342,0.3798,0.008728,0.001207,48,True,8.9354,12150,13000,0.02794,False,0.002,100000.0,24.0,16.0,6.0,2767.8
6.0,0.844919,0.037393,22.5959,0.007151,0.000516,0.3658,0.023363,0.001686,41,True,7.3257,10450,13000,0.02512,False,0.002,100000.0,24.0,16.0,6.0,2365.4
7.0,0.943957,0.050842,18.5665,0.000338,8.5e-05,0.0317,0.001242,0.000313,52,False,,13000,13000,0.00345,False,0.002,100000.0,24.0,16.0,6.0,2997.4
8.0,1.007108,0.06611,15.2338,0.001929,0.000161,0.0472,0.006226,0.00052,40,False,,10100,13000,0.04892,False,0.002,100000.0,24.0,16.0,6.0,2331.3
9.0,1.090336,0.087729,12.4285,0.002739,6.2e-05,0.0324,0.008027,0.000181,33,False,,8450,13000,0.10912,True,0.002,100000.0,24.0,16.0,6.0,1983.0
10.0,1.176526,0.109944,10.7012,0.002333,6.4e-05,0.0221,0.006628,0.000181,31,False,,7950,13000,0.14633,True,0.002,100000.0,24.0,16.0,6.0,1879.2
