dx,alpha,cl,cd,ld,cl_ci95,cd_ci95,ld_ci95,cl_std,cd_std,n_samples,converged_clcd,t_conv_clcd,t_parada_offline,ld_parada_offline,coste_parada_offline,iters_efectivas,iters_programadas,cl_cp_discrepancy,cl_cp_discrepancy_flag,Re,Lx,Ly,cx,wall_s
0.004,0.0,0.074407,0.048334,1.5394,0.002884,0.000116,0.0598,0.010612,0.000427,52,False,,,,,13000,13000,0.01165,False,100000.0,24.0,16.0,6.0,1499.3
0.004,2.0,0.374007,0.034491,10.8436,0.01022,0.000749,0.3784,0.037601,0.002754,52,False,,,,,13000,13000,0.07969,True,100000.0,24.0,16.0,6.0,1561.7
0.004,4.0,0.670028,0.024258,27.6204,0.008441,0.000943,1.1287,0.031055,0.003469,52,False,,,,,13000,13000,0.0092,False,100000.0,24.0,16.0,6.0,1942.8
0.004,6.0,0.789449,0.049864,15.832,2.5e-05,5e-06,0.0015,9.3e-05,1.7e-05,52,False,,10.534,15.7886,0.63,13000,13000,0.05041,True,100000.0,24.0,16.0,6.0,2112.9
0.004,8.0,0.925231,0.104612,8.8444,0.003184,0.000616,0.0603,0.011714,0.002266,52,False,,,,,13000,13000,0.12091,True,100000.0,24.0,16.0,6.0,2522.9
0.002,0.0,0.150936,0.037657,4.0082,0.00672,0.000291,0.1811,0.034963,0.001513,104,False,,,,,26000,26000,0.04376,False,100000.0,24.0,16.0,6.0,4374.2
0.002,2.0,0.446088,0.02326,19.178,0.008587,0.000582,0.6051,0.044681,0.003026,104,False,,12.733,19.0598,0.616,26000,26000,0.06269,True,100000.0,24.0,16.0,6.0,5180.4
0.002,4.0,0.680389,0.019986,34.0436,0.003445,0.000404,0.7091,0.017925,0.002101,104,False,,18.597,34.2105,0.904,26000,26000,0.04063,False,100000.0,24.0,16.0,6.0,6171.5
0.002,6.0,0.855852,0.036575,23.3999,0.004177,0.00034,0.2459,0.021732,0.001771,104,False,,,,,26000,26000,0.03344,False,100000.0,24.0,16.0,6.0,5934.1
0.002,8.0,1.016484,0.063339,16.0484,0.000114,8e-06,0.0027,0.000593,4.1e-05,104,False,,11.555,16.0307,0.714,26000,26000,0.02688,False,100000.0,24.0,16.0,6.0,6184.8
0.001,0.0,0.18673,0.033661,5.5473,0.003985,0.0002,0.1229,0.029322,0.001473,208,False,,,,,52000,52000,0.01079,False,100000.0,24.0,16.0,6.0,18686.8
0.001,2.0,0.47619,0.02067,23.0382,0.004024,0.000368,0.4544,0.028673,0.002625,195,False,,14.121,22.7507,0.793,48850,52000,0.07277,True,100000.0,24.0,16.0,6.0,21264.2
0.001,4.0,0.699039,0.023169,30.1716,0.004441,0.000519,0.7031,0.03268,0.003823,208,False,,,,,52000,52000,0.08734,True,100000.0,24.0,16.0,6.0,22427.5
0.001,6.0,0.875161,0.036728,23.8282,9e-05,5e-06,0.0042,0.000663,3.9e-05,208,False,,7.643,23.1373,0.455,52000,52000,0.0738,True,100000.0,24.0,16.0,6.0,22249.3
0.001,8.0,1.049929,0.062359,16.8369,0.000111,1.2e-05,0.0038,0.000817,9.1e-05,208,False,,14.036,16.8422,0.939,52000,52000,0.09103,True,100000.0,24.0,16.0,6.0,23518.1
